,name,capacity_mw,latitude,longitude,primary_fuel,commissioning_year,owner,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,County,State
11043,Wadesboro Farm 3,5,34.9694,-80.051,Solar,2016,Wadesboro Farm 3  LLC,NA,NA,NA,7,10.294,Anson,North Carolina
11044,Wadesboro Solar,5,34.9739,-80.029,Solar,2018,Wadesboro Solar  LLC,NA,NA,NA,NA,0.039,Anson,North Carolina
11045,Wadham Energy LP,29.1,39.1062,-122.1096,Waste,1989,Wadham Energy Ltd Partners,196.487002,170.417997,154.008996,196.432997,187.139001,Colusa,California
11046,Wading River,238.5,40.9569,-72.8774,Oil,1989,National Grid Generation LLC,42.982,30.715,16.323,22.972,5.721,Suffolk,New York
11047,Wadsworth,5.4,41.0039,-81.7622,Oil,1991,American Mun Power-Ohio  Inc,0.063,0.045,0.015,0.007,0.004,Wayne,Ohio
11048,Wagner Wind LLC,6,33.9089,-116.5556,Wind,2013,BayWa r.e Wind LLC,18.559,18.506,16.806,19.17,17.614,Riverside,California
11049,Wagon Trail LLC,3.3,45.6531,-119.4625,Wind,2009,Echo 3,7.817,7.499,6.582,6.129,6.127,Morrow,Oregon
11050,Wagstaff Farm 1,5,36.4586,-78.9567,Solar,2013,Wagstaff Farm LLC,NA,9.229,9.017,9.74,9.283,Person,North Carolina
11051,Wahoo,14.2,41.2118,-96.6115,Gas,1963.119718,City of Wahoo - (NE),0.233,0.19,0.102,0.054,0.055,Saunders,Nebraska
11052,Waiau,474.6,21.389,-157.9615,Oil,1963.007796,Hawaiian Electric Co Inc,1035.919,1044.924,1191.0293,912.935,912.198,Honolulu,Hawaii
11053,Waiau Hydro,1,19.7203,-155.1189,Hydro,1924.1,Hawaii Electric Light Co Inc,5.128,6.795,5.972,3.377,4.251,Hawaii,Hawaii
